Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol,is_anomaly
1578581,0,0,9.49e-07,61116965.22655427,58,0,1,0,0,1,0,0,0,0,7.519267854236421e-06,1.082155984852415e-05,7.519267854236421e-06,TCP,True
1579482,0,0,9.01e-07,64372918.97891232,58,0,1,0,0,1,0,0,0,0,7.483631513695016e-06,1.080823025801426e-05,7.483631513695016e-06,TCP,True
1580490,0,0,1.008e-06,57539682.539682545,58,0,1,0,0,1,0,0,0,0,7.452829828802145e-06,1.079198770834489e-05,7.452829828802145e-06,TCP,True
1581630,0,0,1.14e-06,50877192.98245613,58,0,1,0,0,1,0,0,0,0,7.4223173616077985e-06,1.077578672462771e-05,7.4223173616077985e-06,TCP,True
1582525,0,0,8.949999999999999e-07,64804469.27374302,58,0,1,0,0,1,0,0,0,0,7.393204163168077e-06,1.0758973380657692e-05,7.393204163168077e-06,TCP,True
1583626,0,0,1.101e-06,52679382.37965486,58,0,1,0,0,1,0,0,0,0,7.367688556050144e-06,1.074041127617224e-05,7.367688556050144e-06,TCP,True
1584624,0,0,9.98e-07,58116232.46492986,58,0,1,0,0,1,0,0,0,0,7.333578886809172e-06,1.0727186153177792e-05,7.333578886809172e-06,TCP,True
1585688,0,0,1.064e-06,54511278.19548871,58,0,1,0,0,1,0,0,0,0,7.304178404917915e-06,1.071115971881865e-05,7.304178404917915e-06,TCP,True
1586575,0,0,8.869999999999998e-07,65388951.52198421,58,0,1,0,0,1,0,0,0,0,7.27504765221832e-06,1.0695176919179842e-05,7.27504765221832e-06,TCP,True
1587467,0,0,8.92e-07,65022421.52466368,58,0,1,0,0,1,0,0,0,0,7.247271603100919e-06,1.067860871442944e-05,7.247271603100919e-06,TCP,True
1588400,0,0,9.33e-07,62165058.949624866,58,0,1,0,0,1,0,0,0,0,7.218664342706854e-06,1.0662719066672153e-05,7.218664342706854e-06,TCP,True
1589243,0,0,8.429999999999999e-07,68801897.98339264,58,0,1,0,0,1,0,0,0,0,7.1903159715471215e-06,1.064687399890196e-05,7.1903159715471215e-06,TCP,True
1590752,0,0,1.509e-06,38436050.36447979,58,0,1,0,0,1,0,0,0,0,7.1665188213726414e-06,1.062875660330114e-05,7.1665188213726414e-06,TCP,True
1591487,0,0,7.35e-07,78911564.62585035,58,0,1,0,0,1,0,0,0,0,7.13438196567142e-06,1.0615702968425992e-05,7.13438196567142e-06,TCP,True
1823530,0,0,1.202e-06,48252911.813643925,58,0,1,0,0,1,0,0,0,0,8.06614360978118e-06,1.812903776839826e-05,8.06614360978118e-06,TCP,True
1824715,0,0,1.185e-06,48945147.67932489,58,0,1,0,0,1,0,0,0,0,8.040062656486611e-06,1.809331061431517e-05,8.040062656486611e-06,TCP,True
1825586,0,0,8.71e-07,66590126.29161883,58,0,1,0,0,1,0,0,0,0,8.008982005872225e-06,1.8059660807026893e-05,8.008982005872225e-06,TCP,True
1826411,0,0,8.249999999999999e-07,70303030.3030303,58,0,1,0,0,1,0,0,0,0,7.974008285322564e-06,1.8027922440091137e-05,7.974008285322564e-06,TCP,True
1827300,0,0,8.89e-07,65241844.76940382,58,0,1,0,0,1,0,0,0,0,7.943485094153364e-06,1.799461778770674e-05,7.943485094153364e-06,TCP,True
1828341,0,0,1.041e-06,55715658.02113352,58,0,1,0,0,1,0,0,0,0,7.913226173037574e-06,1.7961489334534972e-05,7.913226173037574e-06,TCP,True
1829212,0,0,8.71e-07,66590126.29161883,58,0,1,0,0,1,0,0,0,0,7.884255770979257e-06,1.7928145231450623e-05,7.884255770979257e-06,TCP,True
1830121,0,0,9.09e-07,63806380.6380638,58,0,1,0,0,1,0,0,0,0,7.854510786195681e-06,1.7895367519023563e-05,7.854510786195681e-06,TCP,True
1831115,0,0,9.94e-07,58350100.603621736,58,0,1,0,0,1,0,0,0,0,7.825020032051281e-06,1.7862761682955924e-05,7.825020032051281e-06,TCP,True
1832281,0,0,1.166e-06,49742710.12006862,58,0,1,0,0,1,0,0,0,0,7.795780263048538e-06,1.7830326321500292e-05,7.795780263048538e-06,TCP,True
1833469,0,0,1.188e-06,48821548.82154882,58,0,1,0,0,1,0,0,0,0,7.766788288698358e-06,1.779806004704904e-05,7.766788288698358e-06,TCP,True
1834887,0,0,1.4179999999999998e-06,40902679.83074753,58,0,1,0,0,1,0,0,0,0,7.74307090018872e-06,1.776420864023359e-05,7.74307090018872e-06,TCP,True
1836080,0,0,1.193e-06,48616932.103939645,58,0,1,0,0,1,0,0,0,0,7.714544023786272e-06,1.773228870978585e-05,7.714544023786272e-06,TCP,True
1837146,0,0,1.066e-06,54409005.62851782,58,0,1,0,0,1,0,0,0,0,7.686255866014808e-06,1.7700533650774344e-05,7.686255866014808e-06,TCP,True
1837955,0,0,8.089999999999999e-07,71693448.70210136,58,0,1,0,0,1,0,0,0,0,7.658203442891438e-06,1.7668942132890082e-05,7.658203442891438e-06,TCP,True
1838876,0,0,9.21e-07,62975027.144408256,58,0,1,0,0,1,0,0,0,0,7.63137310866993e-06,1.7637144997248262e-05,7.63137310866993e-06,TCP,True
1839605,0,0,7.289999999999999e-07,79561042.52400549,58,0,1,0,0,1,0,0,0,0,7.599838509047327e-06,1.760747377985832e-05,7.599838509047327e-06,TCP,True
1840364,0,0,7.59e-07,76416337.28590252,58,0,1,0,0,1,0,0,0,0,7.572488039118763e-06,1.75763575638504e-05,7.572488039118763e-06,TCP,True
1841183,0,0,8.189999999999999e-07,70818070.81807081,58,0,1,0,0,1,0,0,0,0,7.545361753369941e-06,1.754539977982385e-05,7.545361753369941e-06,TCP,True
1841772,0,0,5.89e-07,98471986.41765703,58,0,1,0,0,1,0,0,0,0,7.514564358458227e-06,1.751616363089622e-05,7.514564358458227e-06,TCP,True
1842475,0,0,7.03e-07,82503556.18776672,58,0,1,0,0,1,0,0,0,0,7.487894073734438e-06,1.748550938294029e-05,7.487894073734438e-06,TCP,True
1843073,0,0,5.98e-07,96989966.55518396,58,0,1,0,0,1,0,0,0,0,7.461439742733109e-06,1.7455009908196572e-05,7.461439742733109e-06,TCP,True
1914097,0,0,9.97e-07,58174523.57071214,58,0,1,0,0,1,0,0,0,0,7.686844791274474e-06,1.783547987376529e-05,7.686844791274474e-06,TCP,True
1914760,0,0,6.629999999999999e-07,87481146.30467571,58,0,1,0,0,1,0,0,0,0,7.659912109375e-06,1.7804846023692462e-05,7.659912109375e-06,TCP,True
1915480,0,0,7.2e-07,80555555.55555555,58,0,1,0,0,1,0,0,0,0,7.62939453125e-06,1.777589306887396e-05,7.62939453125e-06,TCP,True
1916126,0,0,6.459999999999999e-07,89783281.73374613,58,0,1,0,0,1,0,0,0,0,7.603849683489117e-06,1.7745203955885513e-05,7.603849683489117e-06,TCP,True
1916693,0,0,5.669999999999999e-07,102292768.95943564,58,0,1,0,0,1,0,0,0,0,7.577564405358356e-06,1.7715014557627512e-05,7.577564405358356e-06,TCP,True
1917299,0,0,6.059999999999999e-07,95709570.95709573,58,0,1,0,0,1,0,0,0,0,7.547731474628599e-06,1.7686474862524973e-05,7.547731474628599e-06,TCP,True
1980935,0,0,1.031e-06,56256062.07565471,58,0,1,0,0,1,0,0,0,0,7.738359272480011e-06,1.795794279085799e-05,7.738359272480011e-06,TCP,True
1981642,0,0,7.07e-07,82036775.10608204,58,0,1,0,0,1,0,0,0,0,7.708248925116276e-06,1.7929444814132272e-05,7.708248925116276e-06,TCP,True
2033446,0,0,9.38e-07,61833688.69936034,58,0,1,0,0,1,0,0,0,0,7.849402409262639e-06,1.8066053295501543e-05,7.849402409262639e-06,TCP,True
2034128,0,0,6.809999999999999e-07,85168869.30983847,58,0,1,0,0,1,0,0,0,0,7.822880378136268e-06,1.803632863153975e-05,7.822880378136268e-06,TCP,True
